選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
廣岡 大志,オ,0.19713600000000053,0,6,0.25192800000000076,0.23847163535618873,0.486340000000001
渡部 遼人,オ,0.18391199999999963,0,4,0.25398799999999955,0.23695956224897063,0.4923168000000001
ゴンザレス,オ,0.13590799999999978,1,3,0.18379600000000024,0.1870683754935251,0.3745479999999998
近藤 健介,ソ,0.3084479999999992,19,75,0.4432999999999993,0.5734064285714291,1.0154240000000017
栗原 陵矢,ソ,0.2629959999999996,20,82,0.352016,0.4521871190186389,0.7924040000000004
周東 佑京,ソ,0.25799600000000095,2,33,0.3280040000000016,0.3568703266906639,0.6830000000000003
今宮 健太,ソ,0.2700200000000011,6,42,0.32506800000000124,0.38140957225159206,0.7068439999999985
山川 穂高,ソ,0.24686800000000003,34,98,0.32992799999999867,0.45090600649942425,0.7615999999999996
三森 大貴,ソ,0.28100799999999976,1,6,0.340828,0.3251608663900408,0.6648439999999998
柳田 悠岐,ソ,0.2891320000000007,4,32,0.40193600000000074,0.3974826479363723,0.7791999999999987
牧原 大成,ソ,0.2750079999999994,2,18,0.3160040000000013,0.35474273769839026,0.6749840000000011
正木 智也,ソ,0.26200400000000035,7,30,0.2980360000000006,0.46110440560894783,0.7613239999999997
柳町 達,ソ,0.26500000000000046,4,29,0.2980400000000006,0.4433512294504816,0.7535559999999987
川村 友斗,ソ,0.26199200000000034,1,11,0.34601599999999966,0.3962081197682054,0.7406840000000021
川瀬 晃,ソ,0.249988,0,12,0.2949840000000012,0.3125440221056998,0.6041360000000005
甲斐 拓也,ソ,0.252004000000001,5,36,0.3019640000000007,0.3504899559459388,0.6559720000000014
廣瀨 隆太,ソ,0.2439999999999998,2,9,0.26899999999999913,0.326588612838882,0.5960320000000003
中村 晃,ソ,0.21800400000000145,0,11,0.3090079999999988,0.23669750937482967,0.5272520000000008
佐藤 直樹,ソ,0.18502400000000033,0,6,0.23888399999999907,0.2355248039043506,0.47571999999999987
海野 隆司,ソ,0.1664440000000003,2,8,0.2351839999999998,0.25764631351024797,0.4922208000000009
緒方 理貢,ソ,0.17897600000000008,0,4,0.2719039999999995,0.2228645092616024,0.48100799999999905
ウォーカー,ソ,0.17692399999999972,1,4,0.19020400000000004,0.2556602529957691,0.4515586666666651
