選手名,球 団,打 率,打 点,本 塁 打,安 打 数,単 打,2 塁 打,3 塁 打,出 塁 率,長 打 率,O P S,試 合 数,打 席 数,打 数,得 点,四 球,死 球,企 盗 塁,盗 塁,犠 飛,併 殺,失 策,三 振
10:宗 佑磨,オ,.235,22,1,68,53,12,2,.283,.301,.584,97,322.0,289,15,15,6,5,3,2,8,8,31
11:大里 昂生,オ,.235,8,2,36,28,4,2,.304,.327,.630,51,176.0,153,11,14,1,7,5,0,1,5,26
12:杉本 裕太郎,オ,.233,27,11,51,33,7,0,.293,.416,.708,82,239.0,219,17,16,4,1,1,1,5,1,56
13:福田 周平,オ,.232,13,1,53,45,6,1,.314,.281,.594,69,261.0,228,25,26,2,10,7,0,1,0,26
14:中川 圭太,オ,.231,16,2,50,36,12,0,.273,.315,.588,60,233.0,216,24,13,0,4,3,2,3,2,24
17:来田 涼斗,オ,.212,11,2,36,25,7,2,.264,.312,.576,54,189.0,170,14,10,2,8,4,0,4,4,49
18:若月 健矢,オ,.201,18,3,53,40,9,1,.236,.277,.512,96,299.0,264,13,12,3,1,0,3,8,4,59
19:頓宮 裕真,オ,.197,30,7,49,34,7,1,.303,.317,.621,81,290.0,249,17,33,7,0,0,2,8,4,57
20:廣岡 大志,オ,.194,5,0,21,15,6,0,.261,.250,.511,61,119.0,108,11,10,0,2,2,1,2,2,31
21:渡部 遼人,オ,.182,7,0,12,10,2,0,.260,.212,.472,65,81.0,66,6,6,1,9,4,0,0,1,10
27:ゴンザレス,オ,.131,2,1,8,7,0,0,.185,.180,.365,23,65.0,61,3,5,0,0,0,0,0,3,13
1:近藤 健介,ソ,.314,72,19,137,87,29,2,.439,.521,.960,129,535.0,436,66,103,6,12,11,1,10,1,76
2:栗原 陵矢,ソ,.273,87,20,144,82,40,2,.337,.471,.807,140,598.0,527,74,50,5,3,2,7,10,8,99
3:周東 佑京,ソ,.269,26,2,115,93,15,5,.323,.341,.664,123,477.0,428,63,26,10,54,41,3,4,1,90
4:今宮 健太,ソ,.262,39,6,121,86,25,4,.331,.372,.704,133,538.0,462,60,48,3,1,1,2,9,4,87
5:山川 穂高,ソ,.247,99,34,136,75,26,1,.318,.484,.801,143,611.0,550,66,51,10,0,0,3,17,5,158
8:三森 大貴,ソ,.288,13,1,19,16,2,0,.329,.364,.692,25,71.0,66,6,4,0,3,2,0,1,4,10
9:柳田 悠岐,ソ,.286,35,4,53,41,7,1,.404,.400,.804,52,225.0,185,31,38,3,3,3,2,2,1,36
11:牧原 大成,ソ,.283,13,2,68,55,7,4,.308,.371,.679,78,259.0,240,26,8,1,10,6,1,2,7,41
13:正木 智也,ソ,.270,29,7,71,43,21,0,.310,.430,.739,80,282.0,263,21,11,5,1,1,2,4,2,65
14:柳町 達,ソ,.269,40,4,58,38,11,5,.313,.421,.735,73,237.0,216,26,14,1,1,1,2,4,0,65
15:川村 友斗,ソ,.268,14,1,33,22,8,2,.336,.390,.726,88,140.0,123,27,10,3,4,3,1,1,0,43
16:川瀬 晃,ソ,.261,7,0,36,32,2,2,.295,.304,.599,105,156.0,138,17,8,0,4,2,1,0,1,24
17:甲斐 拓也,ソ,.256,43,5,88,58,25,0,.317,.372,.690,119,392.0,344,34,31,1,2,1,2,6,1,89
18:廣瀨 隆太,ソ,.233,9,2,24,18,4,0,.279,.330,.609,35,111.0,103,9,5,2,1,0,1,6,2,17
20:中村 晃,ソ,.221,16,0,40,36,4,0,.297,.243,.540,101,203.0,181,15,20,1,1,0,1,6,1,24
24:佐藤 直樹,ソ,.190,6,0,16,12,3,1,.250,.250,.500,44,93.0,84,7,4,3,6,3,1,0,1,30
25:海野 隆司,ソ,.173,10,2,18,11,5,0,.225,.279,.504,51,120.0,104,10,6,1,0,0,0,3,1,30
26:緒方 理貢,ソ,.173,4,0,9,7,1,1,.271,.231,.502,86,62.0,52,19,7,0,5,4,0,2,1,10
27:ウォーカー,ソ,.169,3,1,11,7,3,0,.182,.262,.443,20,66.0,65,2,0,1,1,1,0,1,0,19
