選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
西川 愛也,西,0.22275731,7,26,0.26417878,0.3335861,0.5999274
栗山 巧,西,0.23181415,1,12,0.35286513,0.32503286,0.67592865
野村 大樹,西,0.22909242,6,20,0.30972657,0.3946185,0.7042909
蛭間 拓哉,西,0.22255817,1,16,0.26497594,0.27676573,0.55000025
山村 崇嘉,西,0.22002043,2,19,0.26617575,0.28796363,0.5600951
岸 潤一郎,西,0.216491,6,26,0.26238313,0.32808042,0.5880706
山野辺 翔,西,0.2129849,0,6,0.26192197,0.26355633,0.523688
金子 侑司,西,0.20886558,2,9,0.27481964,0.27577707,0.55328554
アギラー,西,0.20324858,2,9,0.275395,0.3174761,0.5880434
中村 剛也,西,0.19571994,6,22,0.25598195,0.3657477,0.61394256
鈴木 将平,西,0.19031534,0,5,0.23409145,0.22943695,0.47419035
炭谷 銀仁朗,西,0.18991458,0,7,0.2482291,0.23259185,0.48442563
滝澤 夏央,西,0.18601085,0,8,0.24504258,0.2170796,0.46713677
長谷川 信哉,西,0.18990639,2,18,0.2691727,0.24669635,0.5186468
児玉 亮涼,西,0.184192,0,5,0.2704681,0.2802135,0.54859006
奥村 光一,西,0.17740616,0,4,0.21500382,0.21451698,0.42441052
元山 飛優,西,0.13973354,1,3,0.17560251,0.20470923,0.37732226
ガルシア,西,0.13983573,1,5,0.23994777,0.2330473,0.47391525
若林 楽人,西,0.1377517,3,5,0.17158271,0.24471112,0.40299508
コルデロ,西,0.13274077,1,4,0.15074007,0.19115579,0.33823392
松原 聖弥,西,0.12249272,0,4,0.18661734,0.16713682,0.37066418
郡司 裕也,日,0.2552682,11,53,0.31660333,0.37763113,0.6977571
万波 中正,日,0.2518351,18,64,0.3114509,0.41832772,0.7370694
松本 剛,日,0.23471685,3,29,0.27946973,0.29346344,0.5706001
マルティネス,日,0.24248777,13,52,0.3304366,0.40687558,0.7290409
清宮 幸太郎,日,0.29636282,13,40,0.3774071,0.5063362,0.8933393
レイエス,日,0.2849404,20,59,0.3528626,0.5332478,0.8916988
水谷 瞬,日,0.28408054,10,43,0.34104508,0.42789796,0.76811206
田宮 裕涼,日,0.27685004,3,28,0.3363388,0.35745698,0.69484675
淺間 大基,日,0.27638456,1,10,0.33550447,0.35627732,0.6931849
